traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,year,month,day,hour,day_in_week,is_weekend
3151,No,247.53,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,10,0,0
4717,No,247.62,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,6,1,0
2487,No,247.62,No rain,No snow,Party Cloudy,Haze,haze,2018,1,6,8,5,0
2233,No,247.62,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,1,5,18,6,0
5654,No,247.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,7,3,0
5332,No,247.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,8,2,0
673,No,247.65,No rain,No snow,Clear,Mist,mist,2018,1,6,1,5,0
3478,No,247.66,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,20,1,0
929,No,247.68,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2016,1,17,6,6,0
677,No,247.76,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,7,0,0
824,No,247.77,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,23,0,0
3188,No,247.79,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,10,5,0
784,No,247.8,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,4,1,0
3885,No,247.8,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,10,3,0
3433,No,247.8,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,6,14,0,0
244,No,247.81,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,2,3,0
784,No,247.81,No rain,No snow,Party Cloudy,Clear,sky is clear,2014,1,5,7,6,0
483,No,247.82,No rain,No snow,Clear,Mist,mist,2018,1,6,2,5,0
683,No,247.82,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,7,4,1,0
272,No,247.84,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,1,1,0
1216,No,247.84,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,7,5,0
4003,No,247.9,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,9,1,0
6080,No,248.0,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,7,1,0
1182,No,248.02,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,22,0,0
434,No,248.07,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,5,0,0
483,No,248.08,No rain,No snow,Clear,Clear,sky is clear,2016,1,11,0,0,0
2124,No,248.08,No rain,No snow,Clear,Clear,sky is clear,2016,1,18,5,0,0
3046,No,248.08,No rain,No snow,Clear,Mist,mist,2018,1,6,9,5,0
2003,No,248.12,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2013,12,7,7,5,0
1083,No,248.13,No rain,No snow,Clear,Clear,sky is clear,2013,12,29,23,6,0
290,No,248.13,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,2,0,0
256,No,248.13,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,3,0,0
4504,No,248.13,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,19,1,0
212,No,248.13,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,2,1,0
2313,No,248.13,No rain,No snow,Party Cloudy,Clear,sky is clear,2014,1,8,20,2,0
2494,No,248.14,No rain,No snow,Clear,Clear,sky is clear,2013,12,29,21,6,0
2261,No,248.14,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,22,3,0
2039,No,248.14,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,21,2,0
6403,No,248.14,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,7,0,0
719,No,248.14,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,22,4,1,0
719,No,248.14,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2013,1,22,4,1,0
2424,No,248.14,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,22,5,1,0
2424,No,248.14,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2013,1,22,5,1,0
4944,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,8,3,0
6280,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,7,2,0
959,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,23,2,0
2554,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,5,1,0
5300,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2014,2,27,6,3,0
686,No,248.15,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,6,0,0
5198,No,248.15,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,2,27,8,3,0
6222,No,248.15,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,21,7,1,0
5710,No,248.15,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,21,8,1,0
2754,No,248.16,No rain,No snow,Clear,Clear,sky is clear,2013,12,7,8,5,0
3708,No,248.17,No rain,No snow,Clear,Clear,sky is clear,2014,1,6,15,0,0
830,No,248.22,No rain,No snow,Clear,Clear,sky is clear,2016,1,11,4,0,0
667,No,248.22,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,1,6,0
269,No,248.22,No rain,No snow,Mostly Cloudy,Mist,mist,2016,1,11,1,0,0
269,No,248.22,No rain,No snow,Mostly Cloudy,Snow,light snow,2016,1,11,1,0,0
2582,No,248.23,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,13,8,5,0
778,No,248.25,No rain,No snow,Clear,Clear,sky is clear,2014,3,3,4,0,0
5506,No,248.26,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,6,0,0
2022,No,248.27,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,5,19,6,0
689,No,248.27,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,27,4,0,0
257,No,248.28,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,3,2,4,6,0
466,No,248.28,No rain,No snow,Mostly Cloudy,Haze,haze,2016,1,17,4,6,0
4199,No,248.28,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2016,1,18,6,0,0
808,No,248.31,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,6,6,0
302,No,248.38,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,3,1,0
490,No,248.38,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,0,3,0
266,No,248.38,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,1,3,0
2172,No,248.39,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,5,1,0
2189,No,248.39,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2013,12,31,22,1,0
343,No,248.41,No rain,No snow,Clear,Clear,sky is clear,2016,1,17,3,6,0
4873,No,248.42,No rain,No snow,Clear,Snow,light snow,2016,1,11,6,0,0
4873,No,248.42,No rain,No snow,Clear,Haze,haze,2016,1,11,6,0,0
381,No,248.43,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,4,0,0
1006,No,248.44,No rain,No snow,Clear,Clear,sky is clear,2017,12,30,6,5,0
4024,No,248.47,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,11,3,0
1176,No,248.47,No rain,No snow,Party Cloudy,Clear,sky is clear,2014,1,5,8,6,0
6391,No,248.48,No rain,No snow,Clear,Clear,sky is clear,2013,1,23,7,2,0
4596,No,248.48,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,6,0,0
5032,No,248.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,6,3,0
665,No,248.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,5,6,6,0
5475,No,248.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,6,2,0
6106,No,248.48,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,8,2,0
284,No,248.51,No rain,No snow,Clear,Mist,mist,2016,1,11,3,0,0
284,No,248.51,No rain,No snow,Clear,Haze,haze,2016,1,11,3,0,0
284,No,248.51,No rain,No snow,Clear,Snow,light snow,2016,1,11,3,0,0
3473,No,248.57,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,13,9,5,0
2502,No,248.57,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,3,3,5,0,0
5494,No,248.61,No rain,No snow,Mostly Cloudy,Haze,haze,2016,1,11,8,0,0
5494,No,248.61,No rain,No snow,Mostly Cloudy,Snow,light snow,2016,1,11,8,0,0
263,No,248.62,No rain,No snow,Clear,Clear,sky is clear,2016,1,18,2,0,0
1003,No,248.62,No rain,No snow,Clear,Clear,sky is clear,2018,1,6,0,5,0
364,No,248.63,No rain,No snow,Clear,Clear,sky is clear,2013,12,7,4,5,0
2618,No,248.63,No rain,No snow,Clear,Clear,sky is clear,2013,12,29,22,6,0
2711,No,248.63,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,21,1,0
4114,No,248.63,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,6,1,0
1721,No,248.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,21,0,0
2922,No,248.66,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,19,2,0
758,No,248.66,No rain,No snow,Clear,Clear,sky is clear,2017,1,13,4,4,0
2524,No,248.68,No rain,No snow,Party Cloudy,Clear,sky is clear,2016,1,17,9,6,0
4193,No,248.68,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2016,1,18,7,0,0
1436,No,248.7,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,22,2,0
585,No,248.72,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,3,0,0
5264,No,248.72,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,3,3,6,0,0
1193,No,248.73,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2013,12,7,6,5,0
5307,No,248.75,No rain,No snow,Clear,Clear,sky is clear,2013,1,23,6,2,0
644,No,248.75,No rain,No snow,Clear,Clear,sky is clear,2016,1,17,2,6,0
2542,No,248.77,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,5,0,0
5556,No,248.77,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,8,0,0
2225,No,248.78,No rain,No snow,Party Cloudy,Clear,sky is clear,2014,1,2,20,3,0
3355,No,248.79,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,21,3,0
4742,No,248.79,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,5,8,4,0
1720,No,248.79,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,13,7,5,0
5761,No,248.79,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,7,7,1,0
384,No,248.8,No rain,No snow,Clear,Clear,sky is clear,2014,1,5,5,6,0
1713,No,248.8,No rain,No snow,Clear,Clear,sky is clear,2014,1,5,9,6,0
4167,No,248.83,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,10,1,0
957,No,248.84,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,0,6,0
3716,No,248.84,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,11,5,0
6058,No,248.84,No rain,No snow,Party Cloudy,Haze,haze,2017,1,6,7,4,0
2525,No,248.85,No rain,No snow,Clear,Clear,sky is clear,2017,1,13,5,4,0
270,No,248.86,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,3,0,0
3666,No,248.86,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,11,6,0
931,No,248.86,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,2,0,0
232,No,248.88,No rain,No snow,Clear,Clear,sky is clear,2014,1,5,4,6,0
2507,No,248.88,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,5,2,0
282,No,248.88,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,1,1,0
359,No,248.88,No rain,No snow,Clear,Clear,sky is clear,2014,3,3,3,0,0
805,No,248.88,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2016,1,10,23,6,0
317,No,248.89,No rain,No snow,Clear,Clear,sky is clear,2013,12,7,3,5,0
3314,No,248.9,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,11,0,0
1738,No,248.91,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,10,0,0
5707,No,249.0,No rain,No snow,Clear,Clear,sky is clear,2014,2,6,7,3,0
2643,No,249.0,No rain,No snow,Clear,Clear,sky is clear,2014,2,27,5,3,0
4704,No,249.0,No rain,No snow,Clear,Haze,haze,2018,1,5,9,4,0
813,No,249.01,No rain,No snow,Clear,Clear,sky is clear,2018,1,5,4,4,0
1763,No,249.02,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,20,0,0
601,No,249.07,No rain,No snow,Clear,Clear,sky is clear,2017,12,30,5,5,0
416,No,249.08,No rain,No snow,Clear,Clear,sky is clear,2013,12,24,1,1,0
1408,No,249.08,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,1,0,0
432,No,249.13,No rain,No snow,Clear,Clear,sky is clear,2013,12,7,2,5,0
222,No,249.13,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,2,1,0
5750,No,249.14,No rain,No snow,Clear,Clear,sky is clear,2014,2,6,8,3,0
737,No,249.14,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,4,0,0
3438,No,249.14,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,31,12,6,0
4774,No,249.14,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,2,6,6,3,0
2691,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,24,6,1,0
2552,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,29,19,6,0
551,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,0,0,0
355,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,1,0,0
627,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,4,0,0
2107,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,30,5,0,0
294,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,3,1,0
3832,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,6,1,0
1072,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,23,3,0
5492,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,6,1,0
195,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,2,0,0
5416,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2017,1,6,8,4,0
457,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,5,6,0
1805,No,249.15,No rain,No snow,Clear,Clear,sky is clear,2018,1,5,23,4,0
1342,No,249.15,No rain,No snow,Party Cloudy,Snow,light snow,2013,12,24,5,1,0
1342,No,249.15,No rain,No snow,Party Cloudy,Haze,haze,2013,12,24,5,1,0
4366,No,249.15,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,2,27,9,3,0
292,No,249.15,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,3,2,3,6,0
5339,No,249.15,No rain,No snow,Party Cloudy,Clouds,broken clouds,2013,12,11,8,2,0
2621,No,249.16,No rain,No snow,Party Cloudy,Snow,light snow,2014,1,5,17,6,0
544,No,249.17,No rain,No snow,Clear,Clear,sky is clear,2014,1,9,0,3,0
1721,No,249.22,No rain,No snow,Clear,Clear,sky is clear,2016,1,10,8,6,0
5009,No,249.23,No rain,No snow,Party Cloudy,Mist,mist,2018,2,6,8,1,0
790,No,249.27,No rain,No snow,Clear,Clear,sky is clear,2014,2,26,4,2,0
2482,No,249.27,No rain,No snow,Clear,Clear,sky is clear,2014,3,2,9,6,0
4971,No,249.29,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,8,1,0
2857,No,249.29,No rain,No snow,Clear,Clear,sky is clear,2016,1,17,10,6,0
4250,No,249.29,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2017,12,27,6,2,0
4124,No,249.3,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,27,8,2,0
4565,No,249.3,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,12,9,4,0
5693,No,249.33,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2013,1,22,8,1,0
580,No,249.34,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,4,1,0
335,No,249.35,No rain,No snow,Clear,Clear,sky is clear,2016,1,18,1,0,0
5307,No,249.35,No rain,No snow,Clear,Snow,light snow,2017,1,6,6,4,0
345,No,249.35,No rain,No snow,Clear,Clear,sky is clear,2017,1,13,3,4,0
6067,No,249.35,No rain,No snow,Clear,Mist,mist,2018,2,6,7,1,0
288,No,249.36,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,2,1,0
1478,New Years Day,249.36,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,0,0,0
263,No,249.38,No rain,No snow,Clear,Clear,sky is clear,2014,3,3,2,0,0
4453,No,249.38,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,27,7,2,0
5906,No,249.38,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,5,7,4,0
4240,No,249.38,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,12,8,4,0
285,No,249.39,No rain,No snow,Clear,Clear,sky is clear,2014,1,3,2,4,0
323,No,249.39,No rain,No snow,Clear,Clear,sky is clear,2014,2,10,3,0,0
6158,No,249.39,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,3,3,7,0,0
1841,No,249.43,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,2,27,22,3,0
4435,No,249.44,No rain,No snow,Clear,Clear,sky is clear,2013,12,31,17,1,0
2067,No,249.44,No rain,No snow,Party Cloudy,Clear,sky is clear,2013,12,29,20,6,0
3950,No,249.45,No rain,No snow,Clear,Clear,sky is clear,2017,12,27,9,2,0
1580,No,249.45,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,23,6,0
1148,No,249.45,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2013,12,23,23,0,0
1175,No,249.46,No rain,No snow,Clear,Clear,sky is clear,2018,1,13,6,5,0
6256,No,249.46,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2013,1,22,7,1,0
2570,No,249.46,No rain,No snow,Mostly Cloudy,Snow,light snow,2017,1,6,5,4,0
4855,No,249.47,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2013,12,30,7,0,0
2439,No,249.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,2,5,3,0
734,No,249.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,4,2,0
748,No,249.48,No rain,No snow,Clear,Clear,sky is clear,2016,1,10,6,6,0
5883,No,249.49,No rain,No snow,Clear,Clear,sky is clear,2016,1,19,8,1,0
3031,No,249.5,No rain,No snow,Clear,Clear,sky is clear,2014,2,27,21,3,0
5554,No,249.5,No rain,No snow,Clear,Clear,sky is clear,2017,1,13,6,4,0
2041,No,249.5,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,22,6,0
338,No,249.51,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2013,2,3,3,6,0
255,No,249.51,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2013,2,3,4,6,0
425,No,249.51,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2013,2,3,5,6,0
510,No,249.52,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,3,2,2,6,0
4160,No,249.53,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,12,5,0
5002,No,249.54,No rain,No snow,Clear,Clear,sky is clear,2018,1,5,6,4,0
812,No,249.57,No rain,No snow,Clear,Clear,sky is clear,2014,2,27,4,3,0
1554,No,249.59,No rain,No snow,Clear,Clear,sky is clear,2016,12,17,23,5,0
2483,No,249.61,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,31,21,6,0
236,No,249.62,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,2,2,0
1210,No,249.62,No rain,No snow,Clear,Clear,sky is clear,2018,1,14,0,6,0
660,No,249.63,No rain,No snow,Clear,Clear,sky is clear,2013,12,7,1,5,0
742,No,249.63,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2013,12,7,5,5,0
304,No,249.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,8,3,2,0
924,No,249.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,22,23,2,0
2305,No,249.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,19,0,0
2645,No,249.65,No rain,No snow,Clear,Clear,sky is clear,2014,2,26,5,2,0
2629,No,249.65,No rain,No snow,Clear,Clear,sky is clear,2018,1,5,5,4,0
647,No,249.65,No rain,No snow,Clear,Clear,sky is clear,2018,1,13,5,5,0
3497,No,249.65,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2016,1,18,8,0,0
4615,No,249.66,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,8,1,0
4232,No,249.66,No rain,No snow,Mostly Cloudy,Clouds,overcast clouds,2013,12,31,7,1,0
